"V1","V2","V3"
33,6,0.1046
33,7,0.107
33,8,0.098
33,9,0.1112
33,10,0.0978
34,1,0.0968
34,2,0.0982
34,3,0.1024
34,4,0.0964
34,5,0.1048
34,6,0.1036
34,7,0.0974
34,8,0.0962
34,9,0.1074
34,10,0.105
35,1,0.1058
35,2,0.0952
35,3,0.099
35,4,0.1056
35,5,0.1042
35,6,0.1022
35,7,0.0978
35,8,0.1018
35,9,0.1076
35,10,0.0974
36,1,0.1098
36,2,0.1004
36,3,0.1074
36,4,0.1014
36,5,0.1016
36,6,0.1042
36,7,0.1018
36,8,0.1064
36,9,0.0964
36,10,0.098
37,1,0.1014
37,2,0.1026
37,3,0.097
37,4,0.1078
37,5,0.102
37,6,0.101
37,7,0.1024
37,8,0.0986
37,9,0.1044
37,10,0.102
38,1,0.1034
38,2,0.1038
38,3,0.1026
38,4,0.1032
38,5,0.1004
38,6,0.0948
38,7,0.101
38,8,0.1078
38,9,0.1068
38,10,0.1074
39,1,0.1124
39,2,0.1052
39,3,0.0992
39,4,0.1024
39,5,0.094
39,6,0.1004
39,7,0.0982
39,8,0.104
39,9,0.1026
39,10,0.1066
40,1,0.1046
40,2,0.1038
40,3,0.106
40,4,0.1028
40,5,0.0968
40,6,0.1034
40,7,0.1022
40,8,0.0974
40,9,0.1004
40,10,0.0996
